name,inputData,displacement,replaceNan,removeMean,FFT,#RNN,sizeRNN,bidirectional,#FC,numFC,Dropout,Custom_loss,xyDisplacement,Accuracy,N4_Acc,Q4_Acc,T4_Acc,Q4H7_Acc,Custom_Acc,Testing_Metric
179,ratioNorm,1,1,0,1,3,32,1,1,256,0.2,0,0,0.5768,0.7005,0.6012,0.2756,0.5678,0.4742,3.2438
180,ratioNorm,1,1,0,1,4,32,1,1,256,0.2,0,0,0.57,0.7334,0.5161,0.3333,0.5452,0.4706,3.3451
181,ratioNorm,1,1,0,1,2,16,1,2,256,0.2,0,0,0.5654,0.6944,0.5901,0.293,0.5066,0.465,3.1883
182,ratioNorm,1,1,0,1,3,16,1,2,256,0.2,0,0,0.5568,0.6934,0.5596,0.329,0.4707,0.463,3.1924
183,ratioNorm,1,1,0,1,4,16,1,2,256,0.2,0,0,0.5629,0.7364,0.5478,0.1438,0.6516,0.4258,3.3086
184,ratioNorm,1,1,0,1,2,32,1,2,256,0.2,0,0,0.5633,0.7491,0.482,0.2473,0.6356,0.4455,3.4247
185,ratioNorm,1,1,0,1,3,32,1,2,256,0.2,0,0,0.5705,0.738,0.5689,0.3007,0.4641,0.4576,3.2409
186,ratioNorm,1,1,0,1,4,32,1,2,256,0.2,0,0,0.5589,0.7461,0.4783,0.3094,0.5452,0.4509,3.4198
187,ratioNorm,1,1,0,1,2,16,1,3,256,0.2,0,0,0.5502,0.6356,0.6665,0.1623,0.5505,0.4385,3.0324
188,ratioNorm,1,1,0,1,3,16,1,3,256,0.2,0,0,0.5502,0.6893,0.5217,0.2505,0.6117,0.448,3.2404
189,ratioNorm,1,1,0,1,4,16,1,3,256,0.2,0,0,0.5365,0.7263,0.4429,0.342,0.4761,0.4375,3.3972
190,ratioNorm,1,1,0,1,2,32,1,3,256,0.2,0,0,0.5589,0.702,0.5224,0.281,0.6011,0.4595,3.1569
191,ratioNorm,1,1,0,1,3,32,1,3,256,0.2,0,0,0.5465,0.6853,0.4584,0.3322,0.633,0.4655,3.235
192,ratioNorm,1,1,0,1,4,32,1,3,256,0.2,0,0,0.549,0.6645,0.5056,0.3246,0.613,0.4706,3.1124
193,ratioNorm,1,1,0,1,2,16,1,1,32,0.3,0,0,0.5623,0.7207,0.5087,0.293,0.5904,0.46,3.2799
194,ratioNorm,1,1,0,1,3,16,1,1,32,0.3,0,0,0.5662,0.6746,0.5689,0.2843,0.6197,0.4758,3.0799
